train_rear_st,,Stream\Level\ber1\train\train_rear_st.wav,,1,1,,,,,,,full_vol,,,,,,,1,1,,2d,streamed,,,0.8,,,,,,,wpn_rear,,,,,,0,,,,,,100,100,0.25,1
train_front_left,,Stream\Level\ber1\train\train_fL.wav,,0.7,0.7,10000,20000,,,,,full_vol,,curve5,,,,,1,1,,3d,streamed,,,0.8,,,,,,5000,,,,,,,0,,,,,,100,100,0.25,1
train_front_right,,Stream\Level\ber1\train\train_fR.wav,,0.7,0.7,10000,20000,,,,,full_vol,,curve5,,,,,1,1,,3d,streamed,,,0.8,,,,,,5000,,,,,,,0,,,,,,100,100,0.25,1
train_rear_left,,Stream\Level\ber1\train\train_rL.wav,,1,1,10000,20000,,,,,full_vol,,curve5,,,,,1,1,,3d,streamed,,,0.8,,,,,,5000,,,,,,,0,,,,,,100,100,0.25,1
train_rear_right,,Stream\Level\ber1\train\train_rR.wav,,1,1,10000,20000,,,,,full_vol,,curve5,,,,,1,1,,3d,streamed,,,0.8,,,,,,5000,,,,,,,0,,,,,,100,100,0.25,1
train_front_center,,Stream\Level\ber1\train\train_fC.wav,,0.7,0.7,10000,20000,,,,,full_vol,,curve5,,,,,1,1,,3d,streamed,,,,,,,train_front_st,,,,,,,,,0.05,,,,,,100,100,0.25,1
train_shake_front,,Stream\Level\ber1\train\train_shakef.wav,,1,1,,,,,,,full_vol,,,,,,,1,1,,2d,streamed,,,0.8,,,,train_shake_rear,,,,,,,,,0,,,,,,100,100,0.25,1
train_shake_rear,,Stream\Level\ber1\train\train_shaker.wav,,1,1,,,,,,,full_vol,,,,,,,1,1,,2d,streamed,,,0.8,,,,train_brakes_front,,,wpn_all,,,,,,0,,,,,,100,100,0.25,1
train_brakes_front,,SFX\Levels\berlin_1\train\brake\train_breakst_00.wav,,0.7,0.7,,,,,,,full_vol,,,,,,,1,1,,2d,,,,,,,,train_brakes_rear,,,,,,,,,0,,,,,,100,100,0.25,1
train_brakes_rear,,SFX\Levels\berlin_1\train\brake\train_breakst_01.wav,,0.7,0.7,,,,,,,full_vol,,,,,,,1,1,,2d,,,,,,,,,,,wpn_rear,,,,,,0,,,,,,100,100,0.25,1
train_door,,Stream\Level\ber1\train\train_door.wav,,1,1,100,500,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,,,,,,,,,,0,,,,,,100,100,0.25,1
building_collapse,,SFX\Levels\berlin_1\chimney\chimney_fall_01.wav,,1,1,1500,3000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,chimney_fall1,,,,,,,,,0.2,,,,,,100,100,0.25,1
building_collapse2,,SFX\Levels\berlin_1\house\roof_crack.wav,,1,1,1500,3000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,,,,,,,,,,0.2,,,,,,100,100,0.25,1
chimney_fall1,,SFX\Levels\berlin_1\chimney\chimney_fall_00.wav,,1,1,500,3000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,,,,,,,,,,0.2,,,,,,100,100,0.25,1
chimney_hit_car,,SFX\Levels\berlin_1\chimney\brick_car.wav,,1,1,500,2000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,chimney_thump2,,,,,,,,,0.2,,,,,,100,100,0.25,1
chimney_hit1,,SFX\Levels\berlin_1\chimney\chimney_hit_00.wav,,1,1,100,1000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,chimney_thump,,,,,,,,,0.2,,,,,,100,100,0.25,1
chimney_hit2,,SFX\Levels\berlin_1\chimney\chimney_hit_01.wav,,1,1,100,1000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,chimney_thump,,,,,,,,,0.2,,,,,,100,100,0.25,1
chimney_hit3,,SFX\Levels\berlin_1\chimney\chimney_hit_02.wav,,1,1,100,1000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,chimney_thump,,,,,,,,,0.2,,,,,,100,100,0.25,1
chimney_hit4,,SFX\Levels\berlin_1\chimney\chimney_hit_00.wav,,0.6,0.6,100,1000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,,,,,,,,,,0.2,,,,,,100,100,0.25,1
chimney_thump,,SFX\Levels\ber3b\fall\eagle_thump_00.wav,,0.5,0.5,100,1000,,,,,full_vol,,curve5,,,,,1,1,,2d,,,,,,,,,,,,0.8,,,,,0.2,,,,,,100,100,0.25,1
chimney_thump2,,SFX\Levels\ber3b\fall\eagle_thump_00.wav,,1,1,100,1000,,,,,full_vol,,curve5,,,,,1,1,,2d,,,,,,,,,,,,0.8,,,,,0.2,,,,,,100,100,0.25,1
elec_snap1,,SFX\Levels\berlin_1\chimney\elec_arc_00.wav,,1,1,100,1000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,,,,,,,,,,0.2,,,,,,100,100,0.25,1
elec_snap2,,SFX\Levels\berlin_1\chimney\elec_arc_01.wav,,1,1,100,1000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,,,300,,,,,,,0.2,,,,,,100,100,0.25,1
elec_loop,,SFX\Levels\berlin_1\chimney\elec_loop.wav,,1,1,100,1000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,looping,,,,,,,,,,,,,,0.3,,,,,,100,100,0.25,1
elec_loop2,,SFX\Levels\berlin_1\chimney\elec_loop2.wav,,1,1,100,1000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,looping,,,,,,,,,,,,,,0.3,,,,,,100,100,0.25,1
#fake_battle1,,Stream\Level\ber1\fake_battle\fake_battle_03.wav,,1,1,4000,7000,,,,,full_vol,,curve4,,10000,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,0.2,,,,,,100,100,0.25,1
#fake_battle2,,Stream\Level\ber1\fake_battle\fake_battle_01.wav,,1,1,4000,7000,,,,,full_vol,,curve5,,10000,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,0.2,,,,,,100,100,0.25,1
#fake_battle_random,,Stream\Level\ber1\fake_battle\fake_battle_04.wav,,0.7,0.7,4000,7000,,,,,full_vol,,curve5,,10000,,,0.8,1.2,,3d,streamed,,,,,,,,,,,,,,,,0.6,,,,,,100,100,0.25,1
line_fake_battle1,,SFX/null.wav,,0.5,0.5,1000,2000,1,reject,,,full_vol,,,,10000,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,0.6,,,,,,100,100,0.25,1
line_fake_battle2,,SFX/null.wav,,0.5,0.5,1000,2000,1,reject,,,full_vol,,,,10000,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,0.6,,,,,,100,100,0.25,1
closed_room_wind,,SFX/null.wav,,0.5,0.5,1000,2000,1,reject,,,full_vol,,,,10000,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,0.6,,,,,,100,100,0.25,1
concrete_wall_explo,,SFX/null.wav,,0.5,0.5,1000,2000,1,reject,,,full_vol,,,,10000,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,0.6,,,,,,100,100,0.25,1
raven_fly_away_a,,SFX/null.wav,,0.5,0.5,1000,2000,1,reject,,,full_vol,,,,10000,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,0.6,,,,,,100,100,0.25,1
raven_fly_away_b,,SFX/null.wav,,0.5,0.5,1000,2000,1,reject,,,full_vol,,,,10000,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,0.6,,,,,,100,100,0.25,1
tank_shreck_ricochet,,SFX\Levels\berlin_1\tank_ricco\tank_ricco.wav,,1,1,500,2000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,,,,,,,,,,0.2,,,,,,100,100,0.25,1
window_shutter,,SFX\Levels\berlin_1\shutter_##,,1,1,500,2000,,,,,full_vol,,curve5,,2500,,,1,1,,3d,,,,,,,,,,,,,,,,,0,,,no,,,100,100,0.25,1
chimes,,Stream\Level\ber1\chimes\chimes.wav,,1,1,500,2000,,,,,ambience,,,1,3000,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
alley_wind,,SFX\Levels\mp_nachtfeuer\ghost_wind_l_00.wav,,1,1,500,2000,,,,,ambience,,,1,3000,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
#Train station explo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#boom1,,SFX/Levels/Berlin_1/boom_00.wav,,1,1,10,150,,,,,full_vol,,,,,,,1,1,,2d,,,,,,,,,,,,,,,,,,,,,,,,,,
#boom2,,SFX/Levels/Berlin_1/boom_01.wav,,1,1,10,150,,,,,full_vol,,,,,,,1,1,,2d,,,,,,,,,,,,,,,,,,,,,,,,,,
#boom3,,SFX/Levels/Berlin_1/boom_02.wav,,1,1,10,150,,,,,full_vol,,,,,,,1,1,,2d,,,,,,,,,,,,,,,,,,,,,,,,,,


#Katyusha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
katyusha_launch_rocket,,SFX/Weapon/Special/Rockets/katyusha/nrocket_##,,0.25,0.35,250,6000,8,reject,,,ambience,,,,10000,,,1,1,,3d,,,,0.7,,,,katyusha_launch_tone,,,,,,,,,0.3,,,no,,,50,100,0.15,0.7
katyusha_launch_tone,,SFX/Weapon/Special/Rockets/katyusha/ntone_##,,0.25,0.35,250,6000,8,reject,,,ambience,,curve3,,10000,,,0.9,1,,3d,,,,0.7,,,,,,,,,,,,,,,,no,,,50,100,0.15,0.7
katy_rocket_run,,SFX\Weapon\Special\Rockets\katyusha\run_##,,0.7,0.8,250,6000,6,reject,,,hvy_wpn,,curve4,,,,,0.9,1.1,,3d,,,looping,0.7,,,,,,1000,,,,,,,0.1,,,no,,,30,80,0.25,0.75
katy_explode_st2,,SFX\Destruction\st_explo\rear_##,,0.25,0.35,300,4500,2,oldest,,,explosion,,,,,,,0.9,1.1,,2d,,,,0.7,,,,sub_thump_rpg,,,wpn_rear,0.5,,,,,0,,,no,,,100,100,0.15,0.85
katy_explode_dirt,,SFX/Destruction/Explosion_Debris/Dirt_##,,0.55,0.65,2000,4000,12,oldest,,,explosion,,,,,,,0.9,1.1,,3d,,,,0.7,,,,katy_explode_main,,,,0.05,0.25,,,,0.3,,,no,,,90,95,0.25,1
katy_explode_default,,SFX/Destruction/Explosion_Impact_##,,0.6,0.85,2000,12000,12,oldest,,,explosion,,,,,,,0.8,1.2,,3d,,,,0.7,,,,katy_expander,,,,0.5,,,,,0.25,,,no,,,50,80,0.15,0.75,,
shell_explode_default,,null.wav,,0.88,1,2000,12000,1,oldest,,,explosion,,,,,,,0.8,1.2,,3d,,,,0.7,,,,,,,,0.5,,,,,,,,,,,50,80,0.15,0.75,,yes
katy_expander,,SFX/Destruction/Explosion_Falloff_##,,0.45,0.55,2000,15000,6,reject,,,explosion,,,,,,,0.9,1.1,,3d,,0.05,,0.7,,,,katy_explode_dirt,,,,0.5,,,,,,,,,,,10,50,0.15,0.85,,

katy_explode_main,,SFX/Destruction/explosion_main_##,,0.6,0.8,1000,4000,12,oldest,,,explosion,,curve3,,6000,,curve2,0.9,1.1,pitch,3d,,,,0.7,,,,script_dist_debris_l,,,,0.5,,,,,0.22,,,,,,50,80,0.15,0.75,,yes
rocket_dirt,,SFX/Destruction/Explosion_Debris/Dirt_##,,0.55,0.65,2000,4000,6,oldest,,,explosion,,,,,,,0.9,1.1,,3d,,,,0.7,,,,katy_explode_main,,,,0.05,0.25,,,,0.1,,,no,,,90,95,0.25,1,,
#planes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_by3,,SFX\Vehicles\Planes\P47\ARPL_P47_By10.wav,1,0.4,0.4,10000,30000,,,,,full_vol,,,,,,,,,,3d,,,,,,,,,,3000,,,,,,,0,,,no,,,100,100,0.25,1,,
fly_by3,,SFX\Vehicles\Planes\P47\ARPL_Dual_P47_By01.wav,2,0.4,0.4,10000,30000,,,,,full_vol,,,,,,,,,,3d,,,,,,,,,,3000,,,,,,,0,,,no,,,100,100,0.25,1,,
fly_by3,,SFX\Vehicles\Planes\P47\ARPL_P47_By07.wav,3,0.4,0.4,10000,30000,,,,,full_vol,,,,,,,,,,3d,,,,,,,,,,3000,,,,,,,0,,,no,,,100,100,0.25,1,,
fly_by4,,SFX\Vehicles\Planes\P47\ARPL_P47_By10.wav,1,0.4,0.4,10000,30000,,,,,full_vol,,,,,,,,,,3d,,,,,,,,,,,,,,,,,0,,,no,,,100,100,0.25,1,,
fly_by4,,SFX\Vehicles\Planes\P47\ARPL_Dual_P47_By01.wav,2,0.4,0.4,10000,30000,,,,,full_vol,,,,,,,,,,3d,,,,,,,,,,,,,,,,,0,,,no,,,100,100,0.25,1,,
fly_by4,,SFX\Vehicles\Planes\P47\ARPL_P47_By07.wav,3,0.4,0.4,10000,30000,,,,,full_vol,,,,,,,,,,3d,,,,,,,,,,,,,,,,,0,,,no,,,100,100,0.25,1,,
#Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ber1_fire_med,,SFX/Destruction/fires/bldg_fire/med_##,,0.51,0.58,100,1000,,,,,ambience,,,,1200,,curve2,1,1,,3d,,,looping,,,,pcm,,,,,,,,,,,,,,,,50,80,0.15,0.85,,
see1_fire_med,,SFX\Destruction\fires\med_##,,0.4,0.43,100,1000,,,,,ambience,,,,1200,,curve2,0.9,1.1,pitch,3d,,,looping,,,,pcm,,,,,,,,,,0,,,,,,50,80,0.15,0.85,,
wall_fire,,SFX\Destruction\fires\med_##,,1,1,100,1000,,,,,ambience,,,,1200,,curve2,0.9,1.1,pitch,3d,,,looping,,,,pcm,,,,,,,,,,0,,,,,,50,80,0.15,0.85,
fire_manager_0,,SFX/Destruction/fires/dynamic/dyn_fire_00.wav,,1,1,100,1000,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,pcm,,,,,,,,,,,,,,,,25,80,0.25,1,
fire_manager_1,,SFX/Destruction/fires/dynamic/dyn_fire_01.wav,,1,1,100,1000,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,pcm,,,,,,,,,,,,,,,,25,80,0.25,1,
fire_manager_2,,SFX/Destruction/fires/dynamic/dyn_fire_02.wav,,1,1,100,1000,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,pcm,,,,,,,,,,,,,,,,25,80,0.25,1,
fire_manager_3,,SFX/Destruction/fires/dynamic/dyn_fire_03.wav,,1,1,100,1000,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,pcm,,,,,,,,,,,,,,,,25,80,0.25,1,



#Dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ber1_INT_000A_REZN,,voiceovers\ber1\mast\Ber1_INT_000A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,master,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_INT_000A_REZN
Ber1_INT_001A_REZN,,voiceovers\ber1\mast\Ber1_INT_001A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,master,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_INT_001A_REZN
Ber1_INT_002A_REZN,,voiceovers\ber1\mast\Ber1_INT_002A_REZN_A.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,master,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_INT_002A_REZN_A
Ber1_INT_003A_REZN,,voiceovers\ber1\mast\Ber1_INT_003A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,master,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_INT_003A_REZN
Ber1_INT_004A_REZN,,voiceovers\ber1\mast\Ber1_INT_004A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,master,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_INT_004A_REZN
Ber1_INT_005A_CHER,,voiceovers\ber1\mast\Ber1_INT_005A_CHER.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,master,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_INT_005A_CHER
Ber1_INT_006A_REZN,,voiceovers\ber1\mast\Ber1_INT_006A_REZN_A.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,master,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_INT_006A_REZN_A
Ber1_INT_007A_REZN,,voiceovers\ber1\mast\Ber1_INT_007A_REZN_B.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,master,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_INT_007A_REZN_B
Ber1_INT_008A_COMM,,voiceovers\ber1\mast\Ber1_INT_008A_COMM_A.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,master,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_INT_008A_COMM_A
Ber1_INT_009A_COMM,,voiceovers\ber1\mast\Ber1_INT_009A_COMM_A.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,master,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_INT_009A_COMM_A
Ber1_INT_010A_COMM,,voiceovers\ber1\mast\Ber1_INT_010A_COMM.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,master,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_INT_010A_COMM
Ber1_IGD_000A_COMM,,voiceovers\ber1\mast\Ber1_IGD_000A_COMM.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,master,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_000A_COMM
Ber1_IGD_001A_REZN,,voiceovers\ber1\mast\Ber1_IGD_001A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_001A_REZN
Ber1_IGD_002A_REZN,,voiceovers\ber1\mast\Ber1_IGD_002A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_002A_REZN
Ber1_IGD_003A_REZN,,voiceovers\ber1\mast\Ber1_IGD_003A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_003A_REZN
Ber1_IGD_004A_REZN,,voiceovers\ber1\mast\Ber1_IGD_004A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_004A_REZN
Ber1_IGD_005A_CHER,,voiceovers\ber1\mast\Ber1_IGD_005A_CHER.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_005A_CHER
Ber1_IGD_006A_REZN,,voiceovers\ber1\mast\Ber1_IGD_006A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_006A_REZN
Ber1_IGD_007A_REZN,,voiceovers\ber1\mast\Ber1_IGD_007A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_007A_REZN
Ber1_IGD_008A_REZN,,voiceovers\ber1\mast\Ber1_IGD_008A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_008A_REZN
Ber1_IGD_009A_COMM,,voiceovers\ber1\mast\Ber1_IGD_009A_COMM.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_009A_COMM
Ber1_IGD_010A_REZN,,voiceovers\ber1\mast\Ber1_IGD_010A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_010A_REZN
Ber1_IGD_011A_CHER,,voiceovers\ber1\mast\Ber1_IGD_011A_CHER.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_011A_CHER
Ber1_IGD_012A_REZN,,voiceovers\ber1\mast\Ber1_IGD_012A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_012A_REZN
Ber1_IGD_013A_REZN,,voiceovers\ber1\mast\Ber1_IGD_013A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_013A_REZN
Ber1_IGD_014A_REZN,,voiceovers\ber1\mast\Ber1_IGD_014A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_014A_REZN
Ber1_IGD_015A_REZN,,voiceovers\ber1\mast\Ber1_IGD_015A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_015A_REZN
Ber1_IGD_016A_REZN,,voiceovers\ber1\mast\Ber1_IGD_016A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_016A_REZN
Ber1_IGD_017A_REZN,,voiceovers\ber1\mast\Ber1_IGD_017A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_017A_REZN
Ber1_IGD_018A_REZN,,voiceovers\ber1\mast\Ber1_IGD_018A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_018A_REZN
Ber1_IGD_019A_REZN,,voiceovers\ber1\mast\Ber1_IGD_019A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_019A_REZN
Ber1_IGD_020A_REZN,,voiceovers\ber1\mast\Ber1_IGD_020A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_020A_REZN
Ber1_IGD_100A_REZN,,voiceovers\ber1\mast\Ber1_IGD_100A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_100A_REZN
Ber1_IGD_022A_REZN,,voiceovers\ber1\mast\Ber1_IGD_022A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_022A_REZN
Ber1_IGD_023A_REZN,,voiceovers\ber1\mast\Ber1_IGD_023A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_023A_REZN
Ber1_IGD_022B_REZN,,voiceovers\ber1\mast\Ber1_IGD_022B_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_022B_REZN
Ber1_IGD_024A_REZN,,voiceovers\ber1\mast\Ber1_IGD_024A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_024A_REZN
Ber1_IGD_025A_REZN,,voiceovers\ber1\mast\Ber1_IGD_025A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_025A_REZN
Ber1_IGD_026A_REZN,,voiceovers\ber1\mast\Ber1_IGD_026A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_026A_REZN
Ber1_IGD_027A_REZN,,voiceovers\ber1\mast\Ber1_IGD_027A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_027A_REZN
Ber1_IGD_028A_COMM,,voiceovers\ber1\mast\Ber1_IGD_028A_COMM.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_028A_COMM
Ber1_IGD_029A_REZN,,voiceovers\ber1\mast\Ber1_IGD_029A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_029A_REZN
Ber1_IGD_030A_REZN,,voiceovers\ber1\mast\Ber1_IGD_030A_REZN.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_030A_REZN
Ber1_IGD_031A_CHER,,voiceovers\ber1\mast\Ber1_IGD_031A_CHER.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_031A_CHER
Ber1_IGD_032A_COMM,,voiceovers\ber1\mast\Ber1_IGD_032A_COMM.wav,,1,1,250,2800,,,,,voice,,,,3200,,,1,1,,3d,streamed,,,,,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1,SUBTITLE_Ber1_IGD_032A_COMM
